Id	null	slow	med	fast	x	o	b	a	p	s1	s2	s3	s4	s5	s6	s7	sws	swd	bub	spw	ses	othl	gra	min	xyl	shr	gat	aff	pff	pre	par	othf	teg	gil	pls	spi	ves	aqpa	aqac	aepa	aeac	l1y	e1y	m1y	ly	my	ovo	fie	cie	fic	frc	vec	tec	ase	egg	coc	hou	did	non
25	3	1	0	0	1	3	2	1	0	0	3	1	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
26	3	1	0	0	1	3	2	1	0	0	3	1	0	0	0	0	0	3	0	5	0	2	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
27	3	1	0	0	1	3	2	1	0	0	3	1	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
28	3	0	0	0	0	1	2	2	0	0	3	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
29	3	0	0	0	0	0	2	3	0	0	3	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
30	3	0	0	0	0	0	2	3	0	0	3	0	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
31	3	0	0	0	0	1	3	3	1	0	0	2	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	3	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3
32	3	0	0	0	0	1	3	3	1	0	0	2	3	0	0	0	0	4	0	1	0	5	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	3	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3
33	3	0	0	0	0	1	3	3	1	0	0	2	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	3	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3
34	3	0	0	0	0	1	3	3	1	0	0	2	3	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	3	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3
35	3	0	0	0	0	1	3	3	1	0	0	2	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	3	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3
36	3	1	0	0	0	1	3	3	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	1	1	0	3	0	3	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3
37	3	1	0	0	0	1	3	3	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	1	1	0	3	0	3	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3
38	3	1	0	0	0	1	3	3	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	1	1	0	3	0	3	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3
39	3	1	0	0	0	1	3	3	0	0	3	0	0	0	0	0	0	3	0	3	0	4	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	1	1	0	3	0	3	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3
40	3	2	1	0	0	1	3	0	0	0	2	2	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	2	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
41	3	2	1	0	0	1	3	0	0	0	2	2	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	2	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
42	3	2	1	0	0	2	3	0	0	0	3	0	0	0	0	0	0	4	0	4	0	2	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	2	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
43	3	3	0	0	0	1	2	3	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	2	1	0	3	0	3	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3
44	3	3	0	0	0	1	2	3	0	0	0	3	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	2	1	0	3	0	3	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3
45	3	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
46	3	1	0	0	0	1	3	1	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
47	3	1	0	0	0	1	3	1	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
48	3	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	10	0	0	1	0	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
49	0	3	3	3	1	3	2	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	9	0	0	0	1	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
50	0	3	3	3	1	3	2	0	0	0	3	0	0	0	0	0	0	0	1.7	6.7	0	1.7	10	0	0	0	0	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
51	0	3	2	1	1	3	3	0	0	0	3	0	0	0	0	0	0	0	1.7	6.7	0	1.7	8	0	0	0	2	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
52	0	3	2	1	1	3	3	0	0	0	3	0	0	0	0	0	0	0	1.7	6.7	0	1.7	10	0	0	0	0	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
53	0	3	3	2	0	3	3	0	0	0	3	0	0	0	0	0	0	0	1.7	6.7	0	1.7	8	0	0	1	1	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
54	0	3	3	2	0	3	3	0	0	0	3	0	0	0	0	0	0	0	1.7	6.7	0	1.7	10	0	0	0	0	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
55	0	3	3	2	0	3	3	0	0	0	3	0	0	0	0	0	0	0	1.7	6.7	0	1.7	8	0	0	1	1	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
56	0	3	2	1	0	1	3	0	0	0	3	0	0	0	0	0	0	0	1.7	6.7	0	1.7	5	0	0	0	5	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
