CODE,Order,Family,Genus,Species,null,slow,med,fast,x,o,b,a,p,s1,s2,s3,s4,s5,s6,s7,sws,swd,bub,spw,ses,othl,gra,min,xyl,shr,gat,aff,pff,pre,par,othf,teg,gil,pls,spi,ves,aqpa,aqac,aepa,aeac,l1y,e1y,m1y,ly,my,ovo,fie,cie,fic,frc,vec,tec,ase,egg,coc,hou,did,non,,BEARUp03E1,BEARUp03E2,BEARUp03E3,BEARUp03E4,BEARUp04P1,BEARUp04P2,BEARUp04P3,BEARUp04P4,BEARUp05E1,BEARUp05E2,BEARUp05E3,BEARUp06P1,BEARUp06P2,BEARUp06P4,BEARUp07P1,BEARUp07P2,BEARUp07P3,BEARUp07E2,BEARUp07E3,BEARUp07E4,BEARUp09P2,BEARUp09P3,BEARUp09P4,BEARUp09E2,BEARUp09E3,BEARUp09E4,BEARUp11P1,BEARUp11P2,BEARUp11P3,BEARUp11E1,BEARUp11E2,BEARUp11E3,BEARUp12P1,BEARUp12P3,BEARUp12P4,BEARUp12E1,BEARUp12E2,BEARUp12E4,BEARUp13P1,BEARUp13P2,BEARUp13P3,BEARUp13E1,BEARUp13E2,BEARUp13E4,BEARUp15P1,BEARUp15P3,BEARUp15P4,BEARUp15E1,BEARUp15E2,BEARUp15E4,BEARUp16P2,BEARUp16P3,BEARUp16P4,BEARUp16E1,BEARUp16E2,BEARUp16E3,BEARDoN05E1,BEARDoN05E3,BEARDoN05E4,BEARDoN06P1,BEARDoN06P2,BEARDoN06P3,BEARDoN07P1,BEARDoN07P2,BEARDoN07P3,BEARDoN07E1,BEARDoN07E2,BEARDoN07E4,BEARDoN09P2,BEARDoN09P3,BEARDoN09P4,BEARDoN09E1,BEARDoN09E2,BEARDoN09E4,BEARDoN11P1,BEARDoN11P2,BEARDoN11P3,BEARDoN11E1,BEARDoN11E2,BEARDoN11E3,BEARDoN12P1,BEARDoN12P3,BEARDoN12P4,BEARDoN12E1,BEARDoN12E2,BEARDoN12E3,BEARDoN13P1,BEARDoN13P2,BEARDoN13P3,BEARDoN13P4,BEARDoN13E1,BEARDoN13E2,BEARDoN13E3,BEARDoN13E4,BEARDoN14P1,BEARDoN14P2,BEARDoN14P4,BEARDoN14E1,BEARDoN14E2,BEARDoN14E3,BEARDoN15P1,BEARDoN15P2,BEARDoN15P3,BEARDoN15P4,BEARDoN15E1,BEARDoN15E2,BEARDoN15E3,BEARDoN16P1,BEARDoN16P2,BEARDoN16P4,BEARDoN16E2,BEARDoN16E3,BEARDoN16E4,BEARDo03E1,BEARDo03E2,BEARDo03E3,BEARDo03E4,BEARDo04P1,BEARDo04P2,BEARDo04P3,BEARDo04P4,BEARDo05E1,BEARDo05E2,BEARDo05E3,BEARDo06P1,BEARDo06P3,BEARDo06P4,BEARDo07P1,BEARDo07P2,BEARDo07P3,BEARDo07E1,BEARDo07E2,BEARDo07E4,BEARDo09P1,BEARDo09P2,BEARDo09P3,BEARDo09E1,BEARDo09E2,BEARDo09E4,BEARDo11P1,BEARDo11P2,BEARDo11P4,BEARDo11E2,BEARDo11E3,BEARDo11E4,BEARDo12P2,BEARDo12P3,BEARDo12P4,BEARDo12E2,BEARDo12E3,BEARDo12E4,BEARDo13P1,BEARDo13P3,BEARDo13P4,BEARDo13E2,BEARDo13E3,BEARDo13E4,BEARDo15P1,BEARDo15P3,BEARDo15P4,BEARDo15E2,BEARDo15E3,BEARDo15E4,BEARDo16P1,BEARDo16P2,BEARDo16P4,BEARDo16E1,BEARDo16E2,BEARDo16E4,CHANUp04P1,CHANUp04P2,CHANUp04P3,CHANUp04P4,CHANUp04E1,CHANUp04E2,CHANUp04E3,CHANUp04E4,CHANUp07P2,CHANUp07P3,CHANUp07P4,CHANUp07E2,CHANUp07E3,CHANUp07E4,CHANUp09P1,CHANUp09P3,CHANUp09P4,CHANUp09E2,CHANUp09E3,CHANUp09E4,CHANUp11P1,CHANUp11P2,CHANUp11P4,CHANUp11E1,CHANUp11E2,CHANUp11E4,CHANUp12P1,CHANUp12P2,CHANUp12P3,CHANUp12E1,CHANUp12E2,CHANUp12E4,CHANUp13P1,CHANUp13P2,CHANUp13P3,CHANUp15P2,CHANUp15P3,CHANUp15P4,CHANDo04P1,CHANDo04P2,CHANDo04P3,CHANDo04P4,CHANDo04E1,CHANDo04E2,CHANDo04E3,CHANDo04E4,CHANDo07P1,CHANDo07P3,CHANDo07P4,CHANDo07E1,CHANDo07E3,CHANDo07E4,CHANDo09P2,CHANDo09P3,CHANDo09P4,CHANDo09E1,CHANDo09E2,CHANDo09E4,CHANDo11P1,CHANDo11P3,CHANDo11P4,CHANDo11E2,CHANDo11E3,CHANDo11E4,CHANDo12P2,CHANDo12P3,CHANDo12P4,CHANDo12E1,CHANDo12E2,CHANDo12E3,CHANDo13P2,CHANDo13P3,CHANDo13P4,CHANDo14P1,CHANDo14P2,CHANDo14P3,CHANDo15P1,CHANDo15P2,CHANDo15P4,CHANDo15E1,CHANDo15E2,CHANDo15E3,CHANDo16P2,CHANDo16P3,CHANDo16P4,CHANDo16E1,CHANDo16E2,CHANDo16E4,ENILUp03E1,ENILUp03E2,ENILUp03E3,ENILUp03E4,ENILUp04P1,ENILUp04P2,ENILUp04P3,ENILUp04P4,ENILUp05E1,ENILUp05E3,ENILUp05E4,ENILUp06P2,ENILUp06P3,ENILUp06P4,ENILUp07P1,ENILUp07P2,ENILUp07P4,ENILUp07E1,ENILUp07E3,ENILUp07E4,ENILUp09P1,ENILUp09P2,ENILUp09P3,ENILUp09E1,ENILUp09E2,ENILUp09E3,ENILUp11P2,ENILUp11P3,ENILUp11P4,ENILUp11E1,ENILUp11E2,ENILUp11E3,ENILUp12P2,ENILUp12P3,ENILUp12P4,ENILUp12E1,ENILUp12E3,ENILUp12E4,ENILUp13P1,ENILUp13P2,ENILUp13P3,ENILUp13E2,ENILUp13E3,ENILUp13E4,ENILUp15P2,ENILUp15P3,ENILUp15P4,ENILUp15E1,ENILUp15E2,ENILUp15E4,ENILUp16P1,ENILUp16P2,ENILUp16P3,ENILUp16E2,ENILUp16E3,ENILUp16E4,ENILDo03E1,ENILDo03E2,ENILDo03E3,ENILDo03E4,ENILDo04P1,ENILDo04P2,ENILDo04P3,ENILDo04P4,ENILDo05E1,ENILDo05E2,ENILDo05E4,ENILDo06P1,ENILDo06P2,ENILDo06P3,ENILDo06P4,ENILDo07P1,ENILDo07P2,ENILDo07P3,ENILDo07E2,ENILDo07E3,ENILDo07E4,ENILDo09P1,ENILDo09P2,ENILDo09P4,ENILDo09E1,ENILDo09E3,ENILDo09E4,ENILDo11P1,ENILDo11P3,ENILDo11P4,ENILDo11E1,ENILDo11E3,ENILDo11E4,ENILDo12P1,ENILDo12P2,ENILDo12P3,ENILDo12E1,ENILDo12E2,ENILDo12E4,ENILDo13P2,ENILDo13P3,ENILDo13P4,ENILDo13E1,ENILDo13E2,ENILDo13E3,ENILDo15P1,ENILDo15P3,ENILDo15P4,ENILDo15E1,ENILDo15E3,ENILDo15E4,ENILDo16P2,ENILDo16P3,ENILDo16P4,ENILDo16E1,ENILDo16E2,ENILDo16E3,ENILDoN05E2,ENILDoN05E3,ENILDoN05E4,ENILDoN06P1,ENILDoN06P2,ENILDoN06P4,ENILDoN07P1,ENILDoN07P2,ENILDoN07P4,ENILDoN07E1,ENILDoN07E2,ENILDoN07E4,ENILDoN09P1,ENILDoN09P2,ENILDoN09P3,ENILDoN09E2,ENILDoN09E3,ENILDoN09E4,ENILDoN11P1,ENILDoN11P2,ENILDoN11P3,ENILDoN11E1,ENILDoN11E2,ENILDoN11E4,ENILDoN12P1,ENILDoN12P2,ENILDoN12P3,ENILDoN12E1,ENILDoN12E2,ENILDoN12E4,ENILDoN13P1,ENILDoN13P3,ENILDoN13P4,ENILDoN13E1,ENILDoN13E2,ENILDoN13E4,ENILDoN15P1,ENILDoN15P2,ENILDoN15P3,ENILDoN15E1,ENILDoN15E2,ENILDoN15E3,ENILDoN16P1,ENILDoN16P2,ENILDoN16P3,ENILDoN16E2,ENILDoN16E3,ENILDoN16E4,FOURUp03E1,FOURUp03E2,FOURUp03E3,FOURUp03E4,FOURUp04P1,FOURUp04P2,FOURUp04P3,FOURUp04P4,FOURUp07P1,FOURUp07P2,FOURUp07P4,FOURUp07E1,FOURUp07E2,FOURUp07E4,FOURUp09P1,FOURUp09P2,FOURUp09P4,FOURUp09E2,FOURUp09E3,FOURUp09E4,FOURUp11P1,FOURUp11P3,FOURUp11P4,FOURUp11E1,FOURUp11E2,FOURUp11E4,FOURUp12P1,FOURUp12P2,FOURUp12P3,FOURUp12E1,FOURUp12E2,FOURUp12E3,FOURUp13P2,FOURUp13P3,FOURUp13P4,FOURUp13E2,FOURUp13E3,FOURUp13E4,FOURUp15P1,FOURUp15P2,FOURUp15P3,FOURUp15E2,FOURUp15E3,FOURUp15E4,FOURUp16P2,FOURUp16P3,FOURUp16P4,FOURUp16E1,FOURUp16E2,FOURUp16E3,FOURDo03E1,FOURDo03E2,FOURDo03E3,FOURDo03E4,FOURDo04P1,FOURDo04P2,FOURDo04P3,FOURDo04P4,FOURDo07P2,FOURDo07P3,FOURDo07P4,FOURDo07E1,FOURDo07E2,FOURDo07E3,FOURDo09P1,FOURDo09P2,FOURDo09P4,FOURDo09E1,FOURDo09E3,FOURDo09E4,FOURDo11P1,FOURDo11P3,FOURDo11P4,FOURDo11E1,FOURDo11E2,FOURDo11E3,FOURDo12P1,FOURDo12P2,FOURDo12P4,FOURDo12E1,FOURDo12E2,FOURDo12E4,FOURDo13P1,FOURDo13P2,FOURDo13P3,FOURDo13E1,FOURDo13E2,FOURDo13E3,FOURDo15P1,FOURDo15P2,FOURDo15P4,FOURDo15E1,FOURDo15E3,FOURDo15E4,FOURDo16P1,FOURDo16P3,FOURDo16P4,FOURDo16E1,FOURDo16E3,FOURDo16E4,LUCEUp03E1,LUCEUp03E2,LUCEUp03E3,LUCEUp03E4,LUCEUp04P1,LUCEUp04P2,LUCEUp04P3,LUCEUp04P4,LUCEUp07P2,LUCEUp07P3,LUCEUp07P4,LUCEUp07E1,LUCEUp07E2,LUCEUp07E4,LUCEUp09P1,LUCEUp09P2,LUCEUp09P3,LUCEUp09E1,LUCEUp09E2,LUCEUp09E3,LUCEUp11P2,LUCEUp11P3,LUCEUp11P4,LUCEUp11E2,LUCEUp11E3,LUCEUp11E4,LUCEUp12P1,LUCEUp12P2,LUCEUp12P3,LUCEUp12E1,LUCEUp12E2,LUCEUp12E3,LUCEUp13P1,LUCEUp13P2,LUCEUp13P3,LUCEUp13E1,LUCEUp13E3,LUCEUp13E4,LUCEUp15P2,LUCEUp15P3,LUCEUp15P4,LUCEUp15E1,LUCEUp15E2,LUCEUp15E3,LUCEUp16P1,LUCEUp16P2,LUCEUp16P3,LUCEUp16E1,LUCEUp16E2,LUCEUp16E3,LUCEDo03E1,LUCEDo03E2,LUCEDo03E3,LUCEDo03E4,LUCEDo04P1,LUCEDo04P2,LUCEDo04P3,LUCEDo04P4,LUCEDo07P1,LUCEDo07P3,LUCEDo07P4,LUCEDo07E1,LUCEDo07E2,LUCEDo07E3,LUCEDo09P1,LUCEDo09P2,LUCEDo09P3,LUCEDo09E2,LUCEDo09E3,LUCEDo09E4,LUCEDo11P1,LUCEDo11P2,LUCEDo11P3,LUCEDo11E1,LUCEDo11E2,LUCEDo11E3,LUCEDo12P2,LUCEDo12P3,LUCEDo12P4,LUCEDo12E1,LUCEDo12E2,LUCEDo12E4,LUCEDo13P2,LUCEDo13P3,LUCEDo13P4,LUCEDo13E1,LUCEDo13E2,LUCEDo13E3,LUCEDo15P1,LUCEDo15P3,LUCEDo15P4,LUCEDo15E1,LUCEDo15E2,LUCEDo15E3,LUCEDo16P1,LUCEDo16P3,LUCEDo16P4,LUCEDo16E1,LUCEDo16E2,LUCEDo16E4,LUISUp03E1,LUISUp03E2,LUISUp03E3,LUISUp03E4,LUISUp04P1,LUISUp04P2,LUISUp04P3,LUISUp04P4,LUISUp07P2,LUISUp07P3,LUISUp07P4,LUISUp07E1,LUISUp07E4,LUISUp09P1,LUISUp09P2,LUISUp09P4,LUISUp09E3,LUISUp09E4,LUISUp11P2,LUISUp11P4,LUISUp11E1,LUISUp11E2,LUISUp11E4,LUISUp12P1,LUISUp12P3,LUISUp12P4,LUISUp12E2,LUISUp12E3,LUISUp12E4,LUISUp13P2,LUISUp13P3,LUISUp13P4,LUISUp13E1,LUISUp13E2,LUISUp13E3,LUISUp15P1,LUISUp15P2,LUISUp15P3,LUISUp15E2,LUISUp15E3,LUISUp15E4,LUISUp16P2,LUISUp16P3,LUISUp16P4,LUISUp16E1,LUISUp16E2,LUISUp16E3,LUISUpN07P1,LUISUpN07P2,LUISUpN07P3,LUISUpN07P4,LUISUpN07E2,LUISUpN07E3,LUISUpN07E4,LUISUpN09P1,LUISUpN09P2,LUISUpN09P3,LUISUpN09E2,LUISUpN09E3,LUISUpN09E4,LUISUpN11P2,LUISUpN11P3,LUISUpN11P4,LUISUpN11E2,LUISUpN11E3,LUISUpN11E4,LUISUpN12P1,LUISUpN12P2,LUISUpN12P3,LUISUpN12E1,LUISUpN12E2,LUISUpN12E4,LUISUpN13P1,LUISUpN13P2,LUISUpN13P3,LUISUpN13E2,LUISUpN13E3,LUISUpN13E4,LUISUpN15P1,LUISUpN15P2,LUISUpN15P4,LUISUpN15E1,LUISUpN15E3,LUISUpN15E4,LUISUpN16P1,LUISUpN16P2,LUISUpN16P3,LUISUpN16E1,LUISUpN16E2,LUISUpN16E4,LUISDo03E1,LUISDo03E2,LUISDo03E3,LUISDo03E4,LUISDo04P1,LUISDo04P2,LUISDo04P3,LUISDo04P4,LUISDo07P1,LUISDo07P2,LUISDo07P4,LUISDo07E1,LUISDo07E2,LUISDo07E4,LUISDo09P2,LUISDo09P3,LUISDo09P4,LUISDo09E2,LUISDo09E3,LUISDo09E4,LUISDo11P1,LUISDo11P2,LUISDo11P3,LUISDo11E1,LUISDo11E2,LUISDo11E4,LUISDo12P1,LUISDo12P2,LUISDo12P4,LUISDo12E1,LUISDo12E2,LUISDo12E3,LUISDo13P1,LUISDo13P2,LUISDo13P4,LUISDo13E2,LUISDo13E3,LUISDo13E4,LUISDo15P2,LUISDo15P3,LUISDo15P4,LUISDo15E1,LUISDo15E2,LUISDo15E3,LUISDo16P1,LUISDo16P2,LUISDo16P3,LUISDo16E2,LUISDo16E3,LUISDo16E4,MOIRUp03E1,MOIRUp03E2,MOIRUp03E3,MOIRUp03E4,MOIRUp04P2,MOIRUp04P3,MOIRUp04P4,MOIRUp07P1,MOIRUp07P2,MOIRUp07P4,MOIRUp07E1,MOIRUp07E3,MOIRUp07E4,MOIRUp09P2,MOIRUp09P3,MOIRUp09P4,MOIRUp09E1,MOIRUp09E2,MOIRUp09E3,MOIRUp11P1,MOIRUp11P2,MOIRUp11P4,MOIRUp11E2,MOIRUp11E3,MOIRUp11E4,MOIRUp12P1,MOIRUp12P2,MOIRUp12P3,MOIRUp12E1,MOIRUp12E3,MOIRUp12E4,MOIRUp13P1,MOIRUp13P2,MOIRUp13P4,MOIRUp13E2,MOIRUp13E3,MOIRUp13E4,MOIRUp15P2,MOIRUp15P3,MOIRUp15P4,MOIRUp15E1,MOIRUp15E3,MOIRUp15E4,MOIRUp16P1,MOIRUp16P3,MOIRUp16P4,MOIRUp16E1,MOIRUp16E2,MOIRUp16E3,MOIRUpN07P1,MOIRUpN07P2,MOIRUpN07P3,MOIRUpN07E1,MOIRUpN07E2,MOIRUpN07E4,MOIRUpN09P1,MOIRUpN09P2,MOIRUpN09P4,MOIRUpN09E2,MOIRUpN09E3,MOIRUpN09E4,MOIRUpN11P2,MOIRUpN11P3,MOIRUpN11P4,MOIRUpN11E1,MOIRUpN11E2,MOIRUpN11E4,MOIRUpN12P1,MOIRUpN12P2,MOIRUpN12P4,MOIRUpN12E1,MOIRUpN12E2,MOIRUpN12E3,MOIRUpN13P2,MOIRUpN13P3,MOIRUpN13P4,MOIRUpN13E1,MOIRUpN13E3,MOIRUpN13E4,MOIRUpN14P1,MOIRUpN14P2,MOIRUpN14P3,MOIRUpN14E2,MOIRUpN14E3,MOIRUpN14E4,MOIRUpN15P1,MOIRUpN15P2,MOIRUpN15P3,MOIRUpN15E1,MOIRUpN15E2,MOIRUpN15E4,MOIRUpN16P2,MOIRUpN16P3,MOIRUpN16P4,MOIRUpN16E1,MOIRUpN16E2,MOIRUpN16E4,MOIRDo03E1,MOIRDo03E2,MOIRDo03E3,MOIRDo03E4,MOIRDo04P1,MOIRDo04P2,MOIRDo04P3,MOIRDo04P4,MOIRDo07P1,MOIRDo07P2,MOIRDo07P4,MOIRDo07E2,MOIRDo07E3,MOIRDo07E4,MOIRDo09P1,MOIRDo09P2,MOIRDo09P4,MOIRDo09E1,MOIRDo09E2,MOIRDo09E3,MOIRDo11P1,MOIRDo11P2,MOIRDo11P3,MOIRDo11E2,MOIRDo11E3,MOIRDo11E4,MOIRDo12P1,MOIRDo12P2,MOIRDo12P3,MOIRDo12E1,MOIRDo12E2,MOIRDo12E3,MOIRDo13P1,MOIRDo13P2,MOIRDo13P3,MOIRDo13E1,MOIRDo13E2,MOIRDo13E3,MOIRDo15P1,MOIRDo15P3,MOIRDo15P4,MOIRDo15E1,MOIRDo15E2,MOIRDo15E3,MOIRDo16P1,MOIRDo16P2,MOIRDo16P3,MOIRDo16E1,MOIRDo16E3,MOIRDo16E4
X1,Amphipoda,Crangonyctidae,Crangonyx,pseudogracilis,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.3,1.7,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,1,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,9,17,8,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,8,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
X2,Amphipoda,Gammaridae,Gammarus,pulex/fossarum,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.5,2.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,0,0,3,1,1,1,1,2,0,1,29,1,1,2,0,32,4,1,1,0,1,1,2,4,4,0,0,0,0,0,4,0,0,38,0,25,68,2,14,9,9,0,2,0,1,7,17,20,3,4,15,0,1,3,0,0,0,0,3,0,0,0,0,0,0,78,10,23,351,317,508,49,6,63,24,22,215,1,0,1,1,57,21,115,161,54,85,532,167,3,0,178,70,112,147,0,32,23,22,0,6,670,696,63,265,314,0,215,53,9,6,82,120,1,0,36,19,4,71,3,147,371,111,261,94,23,307,442,200,11,28,9,5,86,20,30,31,9,4,0,4,6,13,5,17,4,9,3,0,39,12,12,0,0,1,233,640,884,137,179,139,66,0,18,3,26,275,115,16,411,497,154,157,53,50,85,13,17,12,80,0,0,0,0,0,0,17,0,4,0,0,0,62,51,84,43,41,24,0,2,0,5,114,38,87,337,33,30,593,95,827,428,875,954,1143,78,313,199,86,94,130,64,116,56,132,77,173,5,56,47,28,63,55,184,117,130,0,0,16,0,0,218,214,122,90,52,45,231,70,42,30,36,47,90,0,0,0,0,210,496,13,205,5,3,2,779,168,76,123,276,433,770,0,33,73,71,38,25,61,24,132,43,59,28,19,54,80,26,88,42,161,91,18,0,0,6,111,248,291,1,32,45,73,120,54,37,7,17,316,17,268,1643,659,280,309,124,210,307,210,258,183,27,351,94,298,272,299,369,437,411,56,27,70,63,108,28,19,75,53,97,84,53,124,23,72,448,38,46,49,101,169,79,66,28,230,14,13,32,25,9,0,0,0,40,208,91,1,261,141,17,1,47,16,2,0,2,0,0,3,90,48,24,0,8,0,48,30,23,76,4,20,5,8,14,25,6,0,0,0,2,107,1,6,3,0,2,73,13,2,8,3,6,4,20,2,123,129,9,165,20,28,17,38,78,9,1,24,11,53,14,14,78,0,2,3,15,26,39,6,4,2,13,29,11,5,9,66,0,0,0,1,27,2,1,8,3,7,2,5,26,3,2,11,57,58,19,61,108,31,60,144,6,117,174,91,266,99,186,254,80,128,106,110,70,224,23,23,29,87,56,198,12,3,6,14,16,195,77,82,82,7,42,10,4,2,6,3,3,4,4,11,0,0,38,14,0,22,5,14,62,1,44,3,9,27,37,162,61,7,18,496,12,14,527,120,353,124,334,93,3,152,12,11,2,9,156,4,9,1,0,26,4,1,31,2,11,14,16,24,33,15,1,5,17,10,27,15,29,2,2,0,1,0,1,18,0,0,0,3,0,0,0,3,3,5,1,34,4,1,1,0,3,11,1,0,40,8,0,1,0,2,1,0,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,25,28,11,2,45,4,2,0,74,14,90,14,3,2,0,0,28,1,0,3,0,4,1,10,0,0,0,0,0,0,0,0,3,3,2,19,7,0,30,21,48,0,1,0,1,0,3,0,0,0,0,0,0,2,19,4,26,21,1,9,4,2,25,66,46,21,63,53,208,85,69,1,0,4,1,0,0,2,15,9,3,2,0,0,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5,1,15,2,8,0,0,7,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,1,2,9,49,0,0,6,0,0,115,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
