	site	an	cond	sim	subm	mo
LUISUp07	LUISUp	7	502	0.47	3.5	0.29
LUISUp09	LUISUp	9	502	0.62	0.625	0.18
LUISUp11	LUISUp	11	469	0.6	2	0.18
LUISUp12	LUISUp	12	401	0.58	0.25	0.6
LUISUp13	LUISUp	13	419	0.65	0.5	1.02
LUISUp15	LUISUp	15	445	0.62	0.375	1.86
LUISUp16	LUISUp	16	468	0.65	0.375	1.14
LUISUpN07	LUISUpN	7	443	0.57	0.75	0.14
LUISUpN09	LUISUpN	9	457	0.65	1	3.27
LUISUpN11	LUISUpN	11	441	0.49	2.25	3.27
LUISUpN12	LUISUpN	12	402	0.58	0.125	1.41
LUISUpN13	LUISUpN	13	412	0.63	0.25	1.02
LUISUpN15	LUISUpN	15	436	0.43	1.125	1.63
LUISUpN16	LUISUpN	16	451	0.58	1.75	1.45
LUISDo04	LUISDo	4	396	0.45	1.75	0.1
LUISDo07	LUISDo	7	423	0.57	0.125	0.1
LUISDo09	LUISDo	9	428	0.66	0.125	0.3
LUISDo11	LUISDo	11	375	0.63	0.25	0.3
LUISDo12	LUISDo	12	392	0.64	0.125	1.02
LUISDo13	LUISDo	13	406	0.64	0	0.28
LUISDo15	LUISDo	15	417	0.66	0.625	0.03
LUISDo16	LUISDo	16	422	0.47	0	0.04
MOIRUp04	MOIRUp	4	430	0.26	5	3.79
MOIRUp07	MOIRUp	7	357	0.57	0.25	1.84
MOIRUp09	MOIRUp	9	337	0.53	0.375	2.3
MOIRUp11	MOIRUp	11	376	0.46	1.5	2.3
MOIRUp12	MOIRUp	12	338	0.67	0.375	1.89
MOIRUp13	MOIRUp	13	365	0.55	0.375	0.04
MOIRUp15	MOIRUp	15	361	0.55	0	1.49
MOIRUp16	MOIRUp	16	400	0.53	0	1.48
MOIRUpN07	MOIRUpN	7	435	0.28	3	0.77
MOIRUpN09	MOIRUpN	9	418	0.31	3.5	0.53
MOIRUpN11	MOIRUpN	11	415	0.39	1.625	0.53
MOIRUpN12	MOIRUpN	12	428	0.48	2.25	1.51
MOIRUpN13	MOIRUpN	13	428	0.51	1.75	1.96
MOIRUpN14	MOIRUpN	14	431	0.42	4.75	2.25
MOIRUpN15	MOIRUpN	15	449	0.38	5	1.53
MOIRUpN16	MOIRUpN	16	467	0.38	3.5	2.24
MOIRDo04	MOIRDo	4	371	0.15	2.375	4.08
MOIRDo07	MOIRDo	7	433	0.16	2.75	3.67
MOIRDo09	MOIRDo	9	408	0.15	3.5	3.71
MOIRDo11	MOIRDo	11	405	0.19	1	3.71
MOIRDo12	MOIRDo	12	393	0.23	3.75	9.72
MOIRDo13	MOIRDo	13	408	0.17	3.625	3.6
MOIRDo15	MOIRDo	15	413	0.13	2.25	4.31
MOIRDo16	MOIRDo	16	457	0.11	2.375	5.02
